"","Hotel_name","Location","Price","Discount","Rating"
"0","Capital O 80951 Hotel Radisson Suite","India, Mumbai","2819","65% off","104"
"1","OYO SilverKey Hotel Manas Residency","Chembur East, Mumbai","2702","65% off","410"
"2","OYO Hotel Airport Metro Near Chhatrapati Shivaji International Airport","Andheri East, Mumbai","2289","64% off","879"
"3","Collection O Hotel Kiwi International Near Chhatrapati Shivaji International Airport","Andheri East, Mumbai","2094","66% off","75"
"4","OYO Druv's Taj Palace Near Chhatrapati Shivaji International Airport","Near Asalpha Metro Station, Dhumai Estate, Mumbai","2656","65% off","686"
"5","Collection O Collection O Hotel Jayshree Domestic Airport","Vile Parle East, Mumbai","3127","65% off","588"
"6","OYO Hotel Blue Executive Near Chhatrapati Shivaji International Airport","On main street, Near Saki Vihar complex, Sakinaka,Mumbai","2772","65% off","1875"
"7","OYO Blue Pearl Residency Near Chhatrapati Shivaji International Airport","On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai","1921","65% off","995"
"8","OYO Hotel Blue Sapphire Residency Near Chhatrapati Shivaji International Airport","Near The Crescent Business Park, Sakinaka, Mumbai","2220","65% off","1144"
"9","OYO Hotel Blue Sea Near Chhatrapati Shivaji International Airport","On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai","1921","65% off","2051"
"10","Super OYO Hotel Divine Residency Near Phoenix Marketcity","Near Chirag Nagar Police Station, LBS Marg, Mumbai","4069","65% off","644"
"11","Capital O Hotel Adore Palace","Sakinaka Jharimari Link Road, Mumbai","2092","66% off","34"
"12","OYO Hotel Greenforest Near Airport Road Metro Station","Near Axis Bank, Customs Colony, Mumbai","2247","67% off","664"
"13","Capital O Hotel Pearl Near US Embassy","Near Wajan Kata Bus Stop, Indira Nagar, Mumbai","2896","65% off","119"
"14","OYO Anjali Hotel Mumbai","Near Kanti Nagar, Andheri East, Mumbai","2535","67% off","477"
"15","OYO Rana Residency Near Western Express Highway Metro Station","Tolany Naka, Sher-e-Punjab Colony, Mumbai","1916","67% off","589"
"16","Flagship The Mumbai Inn Near Chhatrapati Shivaji International Airport","The Mumbai Inn 90 Feet Road Next To Peninsula Near Tilak Nagar Gate Sakinaka Mumbai, Mumbai","1863","67% off","470"
"17","OYO Royal Inn Near Versova Beach","Near Jankidevi Public School Road, Varsova, Mumbai","2740","67% off","465"
"18","Capital O Hotel Zaid International NEAR L&T Sakinaka & IIT POWAI","Near Huntsman Building, Marol, Mumbai","3273","65% off","711"
"19","OYO Flagship Om Residency Near Airport Road Metro Station","Near Ganesh nagar, Marol, Mumbai","2530","67% off","16"
"20","SPOT ON Yatra Inn Near Lalbagh Botanical Garden","Lalbagh, Bangalore","1040","64% off","2617"
"21","OYO Townhouse 180 Jayanagar ","Near Sagar Hospital, Tilak Nagar, Bangalore","1828","67% off","3524"
"22","Super OYO Townhouse OAK Spruce Hotels A2 Indiranagar","India, Bangalore","1423","75% off","253"
"23","Super OYO Collection O Sabharwal Residency Near Lalbagh Botanical Garden","Opposite Shanthinagar, Bangalore","1410","65% off","429"
"24","OYO Townhouse Chic 364 Richmond Road Near Cubbon Park","Near Baldwin Women College, Richmond Town, Bengaluru","2082","65% off","1457"
"25","OYO Hotel Townhall","Near Dhanlakshmi Bank, JC Road, Bangalore","1070","65% off","1144"
"26","Collection O Hotel Hemadri Residency","Opp Saraswati Kalyana Mantapa, Bangalore","872","67% off","74"
"27","Super OYO Capital O Boulevard Elite Madiwala Near Ragigudda Sri Prasanna Anjanayeswamy Temple","B T M Layout, Bangalore","1365","66% off","2664"
"28","OYO Sai Ram Residency","Cubbonpet Main Road, Bangalore","1092","67% off","207"
"29","Super OYO  Design Oyo Townhouse OAK Clove Boutique Hotel Rajaji Nagar","4th Block, Rajaji Nagar, Bangalore","3053","65% off","1360"
"30","SPOT ON Hotel Relax Inn Near Banashankari Metro Station","Banashankari 3rd Stage, Bangalore","645","77% off","69"
"31","Super OYO Townhouse 385 Navya International Ramamurthy Nagar Near Phoenix Marketcity","Near Rammamurthynagar Police Station, Bangalore","1274","67% off","2655"
"32","OYO Sree Balaji Residency","Agrahara Dasarahalli, Rajaji Nagar, Bangalore","907","67% off","360"
"33","Super OYO Townhouse 238 Tierra Woods Near Halasuru Metro Station","Halasuru, Bangalore","2276","65% off","1675"
"34","Capital O Champion Lotus Near Mantri Square Mall","Near IIFT, Vijayanagar, Bangalore","1339","65% off","1342"
"35","Capital O Premium Hotel Victoria Heights Near Sri Someshwara Swami Temple","Near St.Philomena's Hospital, Xavier Layout, Bangalore","1508","67% off","957"
"36","Townhouse OAK SRK White Inn Near Ragigudda Sri Prasanna Anjaneyaswamy Temple","Koramangala, Bangalore","1427","65% off","1603"
"37","OYO Hotel Silver House Near Mantri Square Mall","Arghar Dasrahalli Near Madhu Hospital Opp Maharaja Tent House Reliance Smart Building Magadi Main Road, Bangalore","844","65% off","494"
"38","Varcity Emerald Near Ragigudda Sri Prasanna Anjaneyaswamy Temple","Near KEB Colony, BTM Layout 1, Bangalore","879","65% off","1965"
"39","Collection O Hotel Palm Tree","Near Halasuru Metro Station, Ulsoor, Bangalore","2566","65% off","1271"
"40","Super OYO Townhouse 385 Navya International Ramamurthy Nagar Near Phoenix Marketcity","Near Rammamurthynagar Police Station, Bangalore","1274","67% off","2655"
"41","Collection O Hotel Tiara Near Christ university","Tavarekere Main Rd, Bangalore","1175","67% off","644"
